Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 5-2, 30-40 Sara Svetac Serving",45,1,8,Elise Wagle,Sara Svetac,30-40,5-2,0-0,,Ad,Sara Svetac,Elise Wagle,2411016,2423840,,Elise Wagle,7,5 - 8,1,0,1st Serve In,Body,Body,,False,Down the Line,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,True,,,0,0,5,2,30,40,,,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 0-0, 0-0 Elise Wagle Serving",46,2,1,Elise Wagle,Sara Svetac,0-0,0-0,1-0,,Deuce,Elise Wagle,Sara Svetac,2547896,2570758,,Sara Svetac,10,9 - 12,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Forehand,,,Crosscourt,Backhand,Sara Svetac,Winner,False,,,1,0,0,0,0,0,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Winner,,Arizona State
"Set 2: 0-0, 0-15 Elise Wagle Serving",47,2,1,Elise Wagle,Sara Svetac,0-15,0-0,1-0,,Ad,Elise Wagle,Sara Svetac,2591107,2603064,,Elise Wagle,1,1 - 4,1,0,1st Serve In,Wide,Wide,,True,,,,,,,Elise Wagle,,False,,,1,0,0,0,0,15,,,Ace,Ad: Wide,,,,,,,,,,,,,,Arizona State
"Set 2: 0-0, 15-15 Elise Wagle Serving",48,2,1,Elise Wagle,Sara Svetac,15-15,0-0,1-0,,Deuce,Elise Wagle,Sara Svetac,2620754,2631906,,Sara Svetac,7,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Backhand,Long,,Crosscourt,Backhand,Elise Wagle,Error,False,,,1,0,0,0,15,15,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Error,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 0-0, 15-30 Elise Wagle Serving",49,2,1,Elise Wagle,Sara Svetac,15-30,0-0,1-0,,Ad,Elise Wagle,Sara Svetac,2657145,2672544,,Elise Wagle,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,0,0,15,30,,,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 0-0, 30-30 Elise Wagle Serving",50,2,1,Elise Wagle,Sara Svetac,30-30,0-0,1-0,,Deuce,Elise Wagle,Sara Svetac,2695742,2705635,,Sara Svetac,7,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Backhand,Long,,Crosscourt,Forehand,Elise Wagle,Error,False,,,1,0,0,0,30,30,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 0-0, 30-40 Elise Wagle Serving",51,2,1,Elise Wagle,Sara Svetac,30-40,0-0,1-0,,Ad,Elise Wagle,Sara Svetac,2728513,2749713,,Elise Wagle,2,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Sara Svetac,Error,True,,,1,0,0,0,30,40,,,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,,Arizona State
"Set 2: 0-0, 40-40 Elise Wagle Serving",52,2,1,Elise Wagle,Sara Svetac,40-40,0-0,1-0,,Ad,Elise Wagle,Sara Svetac,2767941,2795876,,Sara Svetac,15,13 +,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,Wide Left,,Crosscourt,Forehand,Elise Wagle,Error,False,,,1,0,0,0,40,40,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,,Arizona State
"Set 2: 0-1, 0-0 Sara Svetac Serving",53,2,2,Elise Wagle,Sara Svetac,0-0,0-1,1-0,,Deuce,Sara Svetac,Elise Wagle,2879837,2907832,,Sara Svetac,10,9 - 12,0,1,2nd Serve In,Body,T,Body,False,Down the Line,Forehand,Long,,Down the Line,Forehand,Elise Wagle,Error,False,,,1,0,0,1,0,0,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 2: 0-1, 15-0 Sara Svetac Serving",54,2,2,Elise Wagle,Sara Svetac,15-0,0-1,1-0,,Ad,Sara Svetac,Elise Wagle,2930152,2962197,,Sara Svetac,12,9 - 12,0,1,2nd Serve In,Wide,Wide,Wide,False,Crosscourt,Backhand,Net,,Down the Line,Backhand,Elise Wagle,Error,False,,,1,0,0,1,15,0,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Wide,,,,,,,Arizona State
"Set 2: 0-1, 30-0 Sara Svetac Serving",55,2,2,Elise Wagle,Sara Svetac,30-0,0-1,1-0,,Deuce,Sara Svetac,Elise Wagle,2992531,3001435,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,,,Down the Line,Forehand,Elise Wagle,Winner,False,,,1,0,0,1,30,0,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1st Serve In,Deuce: Body,,,,,,,Arizona State
"Set 2: 0-1, 30-15 Sara Svetac Serving",56,2,2,Elise Wagle,Sara Svetac,30-15,0-1,1-0,,Ad,Sara Svetac,Elise Wagle,3018126,3036996,,Elise Wagle,1,1 - 4,0,0,Double Fault,,T,Wide,False,,,,,,,Sara Svetac,,False,,,1,0,0,1,30,15,,,,,,,,,,Double Fault,,,,,,,,Arizona State
"Set 2: 0-1, 30-30 Sara Svetac Serving",57,2,2,Elise Wagle,Sara Svetac,30-30,0-1,1-0,,Deuce,Sara Svetac,Elise Wagle,3063530,3089096,,Elise Wagle,9,9 - 12,0,1,2nd Serve In,T,Wide,T,False,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,0,1,30,30,,,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: T,,,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 0-1, 30-40 Sara Svetac Serving",58,2,2,Elise Wagle,Sara Svetac,30-40,0-1,1-0,,Ad,Sara Svetac,Elise Wagle,3115711,3123711,,Sara Svetac,4,1 - 4,1,0,1st Serve In,Body,Body,,False,Down the Line,Forehand,Long,,Down the Line,Backhand,Elise Wagle,Error,True,,,1,0,0,1,30,40,,,,,Down the Line,Forehand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,,Arizona State
