pointScore,gameScore,setScore,tiebreakScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,isBreakPoint,shotInRally,side,serverName,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,returnContactX,returnContactY,returnPlacementX,returnPlacementY,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,pointWonBy,clientTeam,Date,Division,Event,lineupPosition,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,pointNumber,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,lastShotError,serveResult,serveInPlacement
30-30,5-4,1-0,,,,1.0,,,5,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,1.0,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,105,Elise Wagle,Sara Svetac,,,,1,,
30-40,5-4,1-0,,1.0,,,,1.0,1,Ad,Sara Svetac,1.0,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Sara Svetac,,,,0,1st Serve In,T
30-40,5-4,1-0,,,,,,,2,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Elise Wagle,,,,0,,
30-40,5-4,1-0,,,,,,,3,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Sara Svetac,,,,0,,
30-40,5-4,1-0,,,,,,,4,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Elise Wagle,,,,0,,
30-40,5-4,1-0,,,,,,,5,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Sara Svetac,,,,0,,
30-40,5-4,1-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Elise Wagle,,,,0,,
30-40,5-4,1-0,,,,,,,7,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Sara Svetac,,,,0,,
30-40,5-4,1-0,,,,,,,8,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Elise Wagle,,,,0,,
30-40,5-4,1-0,,,,1.0,,,9,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,1.0,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,106,Elise Wagle,Sara Svetac,,,,1,,
